Wavelength,V
360,0.000003493300
361,0.000003918300
362,0.000004396300
363,0.000004933600
364,0.000005536600
365,0.000006211500
366,0.000006968000
367,0.000007818900
368,0.000008775400
369,0.000009848400
370,0.000011049700
371,0.000012383800
372,0.000013874100
373,0.000015556100
374,0.000017465400
375,0.000019637900
376,0.000022152900
377,0.000025007600
378,0.000028120000
379,0.000031405500
380,0.000166101800
381,0.000186458600
382,0.000209502400
383,0.000236413100
384,0.000267703600
385,0.000304111300
386,0.000347225500
387,0.000397272800
388,0.000455282300
389,0.000522286600
390,0.000599527300
391,0.000688245800
392,0.000790368300
393,0.000908508000
394,0.001045277800
395,0.001203513800
396,0.001388486600
397,0.001599696800
398,0.001840292500
399,0.002115642600
400,0.002424418100
401,0.002772415900
402,0.003166431800
403,0.003612218000
404,0.004119967900
405,0.004699901900
406,0.005357228200
407,0.006098278800
408,0.006926032300
409,0.007841237800
410,0.008846874200
411,0.009945679100
412,0.011152902900
413,0.012459083200
414,0.013877035600
415,0.015410684000
416,0.017082671900
417,0.018874520600
418,0.020795326900
419,0.022876482700
420,0.025104789100
421,0.027509355200
422,0.030040417400
423,0.032733684100
424,0.035580272900
425,0.038526710100
426,0.041569169700
427,0.044754945200
428,0.048040381700
429,0.051404111300
430,0.054891643600
431,0.058457299600
432,0.062122286600
433,0.065865227900
434,0.069664755200
435,0.073544100600
436,0.077483599400
437,0.081480852600
438,0.085506929500
439,0.089577490400
440,0.093663604700
441,0.097738883400
442,0.101832908200
443,0.105933800100
444,0.110074244200
445,0.114220101700
446,0.118443619000
447,0.122521787200
448,0.126880513700
449,0.131076170500
450,0.135333987300
451,0.139656354200
452,0.144045304600
453,0.148279675400
454,0.152807161300
455,0.157183626100
456,0.161637099800
457,0.166166984700
458,0.170766574500
459,0.175429162600
460,0.179925087000
461,0.184698091500
462,0.189313760800
463,0.194231766700
464,0.199242923400
465,0.204138054000
466,0.209369481900
467,0.214720770500
468,0.220205832500
469,0.225838580200
470,0.231855881600
471,0.237819985700
472,0.244177151500
473,0.250483724200
474,0.257187728500
475,0.264068491900
476,0.270919468500
477,0.278181039900
478,0.285599571900
479,0.293144386000
480,0.300784803400
481,0.308504771200
482,0.316346472800
483,0.324143315800
484,0.332397841800
485,0.340720592200
486,0.349365111900
487,0.358341300300
488,0.367674574200
489,0.377167573400
490,0.387068581100
491,0.397413627000
492,0.407994738300
493,0.419028895000
494,0.430510300500
495,0.442209934900
496,0.454325247500
497,0.466685008500
498,0.479399357900
499,0.492801212900
500,0.507000802600
501,0.521628556100
502,0.537042539900
503,0.553106751100
504,0.569461785400
505,0.585748684600
506,0.602541603500
507,0.619200570800
508,0.636220815100
509,0.653205654200
510,0.670873093700
511,0.688548381300
512,0.706333719800
513,0.724328904000
514,0.742187906900
515,0.759787746400
516,0.777085169000
517,0.794218139700
518,0.810777847100
519,0.826578435700
520,0.841657005300
521,0.855645411600
522,0.868825113700
523,0.881092838700
524,0.892568269000
525,0.903594042600
526,0.913993043800
