Wavelength,X,Y,Z
390,2.95242E-03,4.07678E-04,1.31875E-02
391,3.57727E-03,4.97777E-04,1.59788E-02
392,4.33215E-03,6.06475E-04,1.93576E-02
393,5.24161E-03,7.37004E-04,2.34376E-02
394,6.33390E-03,8.92939E-04,2.83502E-02
395,7.64114E-03,1.07817E-03,3.42459E-02
396,9.19940E-03,1.29682E-03,4.12947E-02
397,1.10487E-02,1.55316E-03,4.96864E-02
398,1.32326E-02,1.85146E-03,5.96296E-02
399,1.57979E-02,2.19579E-03,7.13493E-02
400,1.87934E-02,2.58977E-03,8.50825E-02
401,2.22695E-02,3.03680E-03,1.01075E-01
402,2.62798E-02,3.54193E-03,1.19584E-01
403,3.08786E-02,4.11142E-03,1.40865E-01
404,3.61189E-02,4.75262E-03,1.65164E-01
405,4.20499E-02,5.47421E-03,1.92707E-01
406,4.87126E-02,6.28503E-03,2.23678E-01
407,5.61287E-02,7.18807E-03,2.58211E-01
408,6.42987E-02,8.18179E-03,2.96363E-01
409,7.31982E-02,9.26042E-03,3.38102E-01
410,8.27733E-02,1.04130E-02,3.83282E-01
411,9.29533E-02,1.16264E-02,4.31688E-01
412,1.03714E-01,1.28988E-02,4.83244E-01
413,1.15052E-01,1.42344E-02,5.37934E-01
414,1.26977E-01,1.56408E-02,5.95774E-01
415,1.39513E-01,1.71297E-02,6.56819E-01
416,1.52666E-01,1.87127E-02,7.21046E-01
417,1.66305E-01,2.03839E-02,7.87864E-01
418,1.80220E-01,2.21293E-02,8.56339E-01
419,1.94145E-01,2.39298E-02,9.25302E-01
420,2.07765E-01,2.57613E-02,9.93344E-01
421,2.20791E-01,2.76016E-02,1.05918E+00
422,2.33236E-01,2.94551E-02,1.12283E+00
423,2.45246E-01,3.13388E-02,1.18495E+00
424,2.57040E-01,3.32757E-02,1.24648E+00
425,2.68899E-01,3.52955E-02,1.30867E+00
426,2.81068E-01,3.74271E-02,1.37263E+00
427,2.93397E-01,3.96714E-02,1.43766E+00
428,3.05593E-01,4.20200E-02,1.50245E+00
429,3.17317E-01,4.44617E-02,1.56546E+00
430,3.28180E-01,4.69823E-02,1.62494E+00
431,3.37868E-01,4.95674E-02,1.67949E+00
432,3.46510E-01,5.22122E-02,1.72967E+00
433,3.54395E-01,5.49139E-02,1.77676E+00
434,3.61866E-01,5.76692E-02,1.82223E+00
435,3.69308E-01,6.04743E-02,1.86775E+00
436,3.77011E-01,6.33220E-02,1.91450E+00
437,3.84685E-01,6.61927E-02,1.96105E+00
438,3.91859E-01,6.90618E-02,2.00514E+00
439,3.98019E-01,7.19019E-02,2.04430E+00
440,4.02619E-01,7.46829E-02,2.07595E+00
441,4.05264E-01,7.73845E-02,2.09823E+00
442,4.06248E-01,8.00360E-02,2.11259E+00
443,4.06066E-01,8.26852E-02,2.12143E+00
444,4.05228E-01,8.53875E-02,2.12724E+00
445,4.04253E-01,8.82054E-02,2.13257E+00
446,4.03481E-01,9.11892E-02,2.13909E+00
447,4.02536E-01,9.43104E-02,2.14481E+00
448,4.00867E-01,9.75135E-02,2.14683E+00
449,3.97933E-01,1.00735E-01,2.14225E+00
450,3.93214E-01,1.03903E-01,2.12826E+00
451,3.86411E-01,1.06964E-01,2.10320E+00
452,3.77951E-01,1.09968E-01,2.06939E+00
453,3.68418E-01,1.12999E-01,2.03003E+00
454,3.58347E-01,1.16154E-01,1.98818E+00
455,3.48221E-01,1.19539E-01,1.94665E+00
456,3.38383E-01,1.23250E-01,1.90752E+00
457,3.28831E-01,1.27305E-01,1.87069E+00
458,3.19498E-01,1.31696E-01,1.83558E+00
459,3.10335E-01,1.36418E-01,1.80166E+00
460,3.01311E-01,1.41459E-01,1.76844E+00
461,2.92375E-01,1.46800E-01,1.73534E+00
462,2.83327E-01,1.52400E-01,1.70125E+00
463,2.73946E-01,1.58202E-01,1.66505E+00
464,2.64035E-01,1.64140E-01,1.62571E+00
465,2.53422E-01,1.70137E-01,1.58234E+00
466,2.42013E-01,1.76123E-01,1.53444E+00
467,2.29935E-01,1.82090E-01,1.48254E+00
468,2.17362E-01,1.88046E-01,1.42744E+00
469,2.04467E-01,1.94006E-01,1.36988E+00
470,1.91418E-01,1.99986E-01,1.31058E+00
471,1.78367E-01,2.06005E-01,1.25023E+00
472,1.65441E-01,2.12098E-01,1.18951E+00
473,1.52739E-01,2.18304E-01,1.12905E+00
474,1.40344E-01,2.24669E-01,1.06938E+00
475,1.28317E-01,2.31243E-01,1.01095E+00
476,1.16712E-01,2.38074E-01,9.54181E-01
477,1.05612E-01,2.45180E-01,8.99525E-01
478,9.50857E-02,2.52568E-01,8.47372E-01
479,8.51821E-02,2.60248E-01,7.98009E-01
480,7.59312E-02,2.68227E-01,7.51639E-01
481,6.73316E-02,2.76500E-01,7.08264E-01
482,5.93202E-02,2.85004E-01,6.67387E-01
483,5.18411E-02,2.93648E-01,6.28480E-01
484,4.48612E-02,3.02332E-01,5.91117E-01
485,3.83677E-02,3.10944E-01,5.54962E-01
486,3.23730E-02,3.19410E-01,5.19884E-01
487,2.69209E-02,3.27868E-01,4.86277E-01
488,2.20407E-02,3.36526E-01,4.54550E-01
489,1.77395E-02,3.45618E-01,4.24996E-01
490,1.40074E-02,3.55402E-01,3.97811E-01
491,1.08229E-02,3.66089E-01,3.73022E-01
492,8.16900E-03,3.77586E-01,3.50262E-01
493,6.04462E-03,3.89696E-01,3.29141E-01
494,4.46264E-03,4.02195E-01,3.09336E-01
495,3.44681E-03,4.14823E-01,2.90582E-01
496,3.00951E-03,4.27354E-01,2.72677E-01
497,3.09074E-03,4.39821E-01,2.55514E-01
498,3.61122E-03,4.52336E-01,2.39019E-01
499,4.49144E-03,4.65030E-01,2.23134E-01
500,5.65207E-03,4.78048E-01,2.07816E-01
501,7.03532E-03,4.91517E-01,1.93041E-01
502,8.66963E-03,5.05422E-01,1.78809E-01
503,1.06076E-02,5.19706E-01,1.65129E-01
504,1.29047E-02,5.34301E-01,1.52010E-01
505,1.56196E-02,5.49134E-01,1.39464E-01
506,1.88164E-02,5.64130E-01,1.27535E-01
507,2.25692E-02,5.79242E-01,1.16377E-01
508,2.69446E-02,5.94426E-01,1.06116E-01
509,3.19991E-02,6.09639E-01,9.68227E-02
510,3.77818E-02,6.24830E-01,8.85239E-02
511,4.43064E-02,6.39966E-01,8.11826E-02
512,5.14652E-02,6.55094E-01,7.46313E-02
513,5.91222E-02,6.70290E-01,6.87064E-02
514,6.71422E-02,6.85638E-01,6.32783E-02
515,7.53894E-02,7.01229E-01,5.82448E-02
516,8.37670E-02,7.17110E-01,5.35381E-02
517,9.23358E-02,7.33092E-01,4.91486E-02
518,1.01194E-01,7.48904E-01,4.50751E-02
519,1.10436E-01,7.64253E-01,4.13118E-02
520,1.20151E-01,7.78820E-01,3.78492E-02
521,1.30396E-01,7.92341E-01,3.46723E-02
522,1.41131E-01,8.04851E-01,3.17547E-02
523,1.52294E-01,8.16475E-01,2.90703E-02
524,1.63829E-01,8.27352E-01,2.65965E-02
525,1.75683E-01,8.37636E-01,2.43137E-02
526,1.87811E-01,8.47465E-01,2.22068E-02
527,2.00162E-01,8.56887E-01,2.02685E-02
528,2.12682E-01,8.65924E-01,1.84925E-02
529,2.25320E-01,8.74604E-01,1.68708E-02
530,2.38025E-01,8.82955E-01,1.53951E-02
531,2.50779E-01,8.91027E-01,1.40545E-02
532,2.63678E-01,8.98949E-01,1.28335E-02
533,2.76861E-01,9.06875E-01,1.17175E-02
534,2.90479E-01,9.14965E-01,1.06941E-02
535,3.04699E-01,9.23386E-01,9.75300E-03
536,3.19649E-01,9.32233E-01,8.88610E-03
537,3.35245E-01,9.41286E-01,8.08932E-03
538,3.51329E-01,9.50238E-01,7.35913E-03
539,3.67715E-01,9.58765E-01,6.69174E-03
540,3.84186E-01,9.66533E-01,6.08322E-03
541,4.00531E-01,9.73250E-01,5.52942E-03
542,4.16667E-01,9.78842E-01,5.02550E-03
543,4.32542E-01,9.83287E-01,4.56688E-03
544,4.48106E-01,9.86572E-01,4.14941E-03
545,4.63311E-01,9.88689E-01,3.76934E-03
546,4.78144E-01,9.89706E-01,3.42330E-03
547,4.92748E-01,9.89985E-01,3.10831E-03
548,5.07332E-01,9.89962E-01,2.82165E-03
549,5.22131E-01,9.90073E-01,2.56083E-03
550,5.37417E-01,9.90750E-01,2.32358E-03
551,5.53422E-01,9.92283E-01,2.10785E-03
552,5.70124E-01,9.94384E-01,1.91187E-03
553,5.87409E-01,9.96622E-01,1.73401E-03
554,6.05127E-01,9.98565E-01,1.57274E-03
555,6.23089E-01,9.99777E-01,1.42663E-03
556,6.41100E-01,9.99944E-01,1.29433E-03
557,6.59066E-01,9.99220E-01,1.17447E-03
558,6.76944E-01,9.97879E-01,1.06584E-03
559,6.94714E-01,9.96193E-01,9.67321E-04
560,7.12385E-01,9.94430E-01,8.77926E-04
561,7.29998E-01,9.92783E-01,7.96785E-04
562,7.47648E-01,9.91158E-01,7.23150E-04
563,7.65425E-01,9.89393E-01,6.56350E-04
564,7.83401E-01,9.87329E-01,5.95768E-04
565,8.01628E-01,9.84813E-01,5.40839E-04
566,8.20104E-01,9.81725E-01,4.91044E-04
567,8.38684E-01,9.78071E-01,4.45905E-04
568,8.57194E-01,9.73886E-01,4.04983E-04
569,8.75465E-01,9.69203E-01,3.67882E-04
570,8.93341E-01,9.64055E-01,3.34243E-04
571,9.10677E-01,9.58441E-01,3.03741E-04
572,9.27355E-01,9.52238E-01,2.76081E-04
573,9.43250E-01,9.45297E-01,2.50997E-04
574,9.58224E-01,9.37477E-01,2.28247E-04
575,9.72130E-01,9.28650E-01,2.07613E-04
576,9.84924E-01,9.18795E-01,1.88895E-04
577,9.97007E-01,9.08301E-01,1.71913E-04
578,1.00891E+00,8.97635E-01,1.56503E-04
579,1.02116E+00,8.87240E-01,1.42518E-04
580,1.03433E+00,8.77536E-01,1.29823E-04
581,1.04875E+00,8.68792E-01,1.18297E-04
582,1.06394E+00,8.60747E-01,1.07831E-04
583,1.07917E+00,8.53023E-01,9.83246E-05
584,1.09372E+00,8.45253E-01,8.96879E-05
585,1.10689E+00,8.37084E-01,8.18395E-05
586,1.11811E+00,8.28241E-01,7.47058E-05
587,1.12749E+00,8.18732E-01,6.82199E-05
588,1.13532E+00,8.08635E-01,6.23213E-05
589,1.14184E+00,7.98030E-01,5.69553E-05
590,1.14730E+00,7.86995E-01,5.20725E-05
591,1.15190E+00,7.75604E-01,4.76278E-05
592,1.15558E+00,7.63900E-01,4.35808E-05
593,1.15828E+00,7.51916E-01,3.98947E-05
594,1.15993E+00,7.39683E-01,3.65361E-05
595,1.16048E+00,7.27231E-01,3.34750E-05
596,1.15989E+00,7.14588E-01,3.06840E-05
597,1.15826E+00,7.01793E-01,2.81384E-05
598,1.15569E+00,6.88887E-01,2.58157E-05
599,1.15229E+00,6.75910E-01,2.36957E-05
600,1.14816E+00,6.62903E-01,2.17600E-05
601,1.14335E+00,6.49891E-01,1.99918E-05
602,1.13769E+00,6.36841E-01,1.83760E-05
603,1.13099E+00,6.23709E-01,1.68990E-05
604,1.12310E+00,6.10454E-01,1.55482E-05
605,1.11385E+00,5.97037E-01,1.43123E-05
606,1.10315E+00,5.83439E-01,1.31812E-05
607,1.09112E+00,5.69704E-01,1.21455E-05
608,1.07790E+00,5.55889E-01,1.11967E-05
609,1.06364E+00,5.42048E-01,1.03273E-05
610,1.04848E+00,5.28230E-01,9.53013E-06
611,1.03255E+00,5.14475E-01,8.79898E-06
612,1.01587E+00,5.00788E-01,8.12807E-06
613,9.98486E-01,4.87169E-01,7.51216E-06
614,9.80423E-01,4.73616E-01,6.94651E-06
615,9.61711E-01,4.60131E-01,6.42678E-06
616,9.42412E-01,4.46726E-01,0.0
617,9.22705E-01,4.33459E-01,0.0
618,9.02780E-01,4.20392E-01,0.0
619,8.82812E-01,4.07581E-01,0.0
620,8.62958E-01,3.95076E-01,0.0
621,8.43273E-01,3.82889E-01,0.0
622,8.23474E-01,3.70919E-01,0.0
623,8.03234E-01,3.59045E-01,0.0
624,7.82272E-01,3.47162E-01,0.0
625,7.60350E-01,3.35179E-01,0.0
626,7.37374E-01,3.23056E-01,0.0
627,7.13647E-01,3.10886E-01,0.0
628,6.89534E-01,2.98784E-01,0.0
629,6.65357E-01,2.86853E-01,0.0
630,6.41398E-01,2.75181E-01,0.0
631,6.17872E-01,2.63834E-01,0.0
632,5.94848E-01,2.52833E-01,0.0
633,5.72360E-01,2.42183E-01,0.0
634,5.50435E-01,2.31890E-01,0.0
635,5.29098E-01,2.21956E-01,0.0
636,5.08373E-01,2.12383E-01,0.0
637,4.88301E-01,2.03170E-01,0.0
638,4.68917E-01,1.94318E-01,0.0
639,4.50249E-01,1.85825E-01,0.0
640,4.32313E-01,1.77688E-01,0.0
641,4.15079E-01,1.69893E-01,0.0
642,3.98366E-01,1.62382E-01,0.0
643,3.81985E-01,1.55099E-01,0.0
644,3.65782E-01,1.47992E-01,0.0
645,3.49636E-01,1.41020E-01,0.0
646,3.33494E-01,1.34161E-01,0.0
647,3.17478E-01,1.27440E-01,0.0
648,3.01730E-01,1.20889E-01,0.0
649,2.86368E-01,1.14534E-01,0.0
650,2.71490E-01,1.08400E-01,0.0
651,2.57163E-01,1.02501E-01,0.0
652,2.43410E-01,9.68459E-02,0.0
653,2.30239E-01,9.14394E-02,0.0
654,2.17653E-01,8.62832E-02,0.0
655,2.05651E-01,8.13769E-02,0.0
656,1.94225E-01,7.67171E-02,0.0
657,1.83353E-01,7.22940E-02,0.0
658,1.73010E-01,6.80970E-02,0.0
659,1.63172E-01,6.41155E-02,0.0
660,1.53816E-01,6.03398E-02,0.0
661,1.44923E-01,5.67605E-02,0.0
662,1.36473E-01,5.33699E-02,0.0
663,1.28448E-01,5.01603E-02,0.0
664,1.20832E-01,4.71241E-02,0.0
665,1.13607E-01,4.42538E-02,0.0
666,1.06758E-01,4.15420E-02,0.0
667,1.00268E-01,3.89804E-02,0.0
668,9.41239E-02,3.65609E-02,0.0
669,8.83093E-02,3.42760E-02,0.0
670,8.28101E-02,3.21185E-02,0.0
671,7.76121E-02,3.00819E-02,0.0
672,7.27006E-02,2.81600E-02,0.0
673,6.80617E-02,2.63470E-02,0.0
674,6.36818E-02,2.46373E-02,0.0
675,5.95482E-02,2.30257E-02,0.0
676,5.56492E-02,2.15074E-02,0.0
677,5.19754E-02,2.00784E-02,0.0
678,4.85179E-02,1.87347E-02,0.0
679,4.52674E-02,1.74727E-02,0.0
680,4.22147E-02,1.62884E-02,0.0
681,3.93495E-02,1.51777E-02,0.0
682,3.66573E-02,1.41347E-02,0.0
683,3.41241E-02,1.31541E-02,0.0
684,3.17377E-02,1.22309E-02,0.0
685,2.94875E-02,1.13611E-02,0.0
686,2.73672E-02,1.05419E-02,0.0
687,2.53811E-02,9.77505E-03,0.0
688,2.35336E-02,9.06196E-03,0.0
689,2.18256E-02,8.40296E-03,0.0
690,2.02559E-02,7.79746E-03,0.0
691,1.88189E-02,7.24323E-03,0.0
692,1.74993E-02,6.73438E-03,0.0
693,1.62817E-02,6.26500E-03,0.0
694,1.51530E-02,5.83008E-03,0.0
695,1.41023E-02,5.42539E-03,0.0
696,1.31211E-02,5.04763E-03,0.0
697,1.22051E-02,4.69514E-03,0.0
698,1.13511E-02,4.36659E-03,0.0
699,1.05559E-02,4.06068E-03,0.0
700,9.81623E-03,3.77614E-03,0.0
701,9.12852E-03,3.51158E-03,0.0
702,8.48812E-03,3.26521E-03,0.0
703,7.89059E-03,3.03534E-03,0.0
704,7.33206E-03,2.82050E-03,0.0
705,6.80915E-03,2.61937E-03,0.0
706,6.31920E-03,2.43096E-03,0.0
707,5.86104E-03,2.25480E-03,0.0
708,5.43362E-03,2.09049E-03,0.0
709,5.03580E-03,1.93759E-03,0.0
710,4.66630E-03,1.79560E-03,0.0
711,4.32375E-03,1.66399E-03,0.0
712,4.00671E-03,1.54219E-03,0.0
713,3.71371E-03,1.42964E-03,0.0
714,3.44329E-03,1.32575E-03,0.0
715,3.19404E-03,1.22998E-03,0.0
716,2.96442E-03,1.14173E-03,0.0
717,2.75249E-03,1.06027E-03,0.0
718,2.55641E-03,9.84885E-04,0.0
719,2.37456E-03,9.14970E-04,0.0
720,2.20557E-03,8.49990E-04,0.0
721,2.04829E-03,7.89516E-04,0.0
722,1.90211E-03,7.33304E-04,0.0
723,1.76648E-03,6.81146E-04,0.0
724,1.64086E-03,6.32829E-04,0.0
725,1.52467E-03,5.88138E-04,0.0
726,1.41732E-03,5.46839E-04,0.0
727,1.31803E-03,5.08635E-04,0.0
728,1.22606E-03,4.73240E-04,0.0
729,1.14074E-03,4.40402E-04,0.0
730,1.06149E-03,4.09893E-04,0.0
731,9.87795E-04,3.81514E-04,0.0
732,9.19185E-04,3.55090E-04,0.0
733,8.55257E-04,3.30467E-04,0.0
734,7.95643E-04,3.07503E-04,0.0
735,7.40012E-04,2.86072E-04,0.0
736,6.88098E-04,2.66072E-04,0.0
737,6.39786E-04,2.47459E-04,0.0
738,5.94973E-04,2.30192E-04,0.0
739,5.53529E-04,2.14223E-04,0.0
740,5.15311E-04,1.99495E-04,0.0
741,4.80123E-04,1.85934E-04,0.0
742,4.47624E-04,1.73407E-04,0.0
743,4.17485E-04,1.61787E-04,0.0
744,3.89422E-04,1.50964E-04,0.0
745,3.63197E-04,1.40847E-04,0.0
746,3.38628E-04,1.31364E-04,0.0
747,3.15645E-04,1.22491E-04,0.0
748,2.94197E-04,1.14206E-04,0.0
749,2.74223E-04,1.06489E-04,0.0
750,2.55662E-04,9.93144E-05,0.0
751,2.38439E-04,9.26551E-05,0.0
752,2.22452E-04,8.64722E-05,0.0
753,2.07604E-04,8.07278E-05,0.0
754,1.93802E-04,7.53872E-05,0.0
755,1.80965E-04,7.04188E-05,0.0
756,1.69017E-04,6.57934E-05,0.0
757,1.57884E-04,6.14825E-05,0.0
758,1.47499E-04,5.74601E-05,0.0
759,1.37803E-04,5.37027E-05,0.0
760,1.28739E-04,5.01893E-05,0.0
761,1.20264E-04,4.69024E-05,0.0
762,1.12350E-04,4.38317E-05,0.0
763,1.04973E-04,4.09678E-05,0.0
