Wavelength,L,M,S
752,1.30868E-04,9.25011E-06,0.0
752,1.29969E-04,9.19029E-06,0.0
753,1.29077E-04,9.13088E-06,0.0
753,1.28192E-04,9.07188E-06,0.0
753,1.27313E-04,9.01330E-06,0.0
753,1.26441E-04,8.95513E-06,0.0
753,1.25574E-04,8.89736E-06,0.0
753,1.24714E-04,8.84000E-06,0.0
753,1.23861E-04,8.78303E-06,0.0
753,1.23013E-04,8.72646E-06,0.0
753,1.22172E-04,8.67029E-06,0.0
754,1.21337E-04,8.61450E-06,0.0
754,1.20508E-04,8.55911E-06,0.0
754,1.19685E-04,8.50410E-06,0.0
754,1.18867E-04,8.44947E-06,0.0
754,1.18056E-04,8.39522E-06,0.0
754,1.17251E-04,8.34135E-06,0.0
754,1.16451E-04,8.28785E-06,0.0
754,1.15657E-04,8.23472E-06,0.0
754,1.14869E-04,8.18196E-06,0.0
754,1.14086E-04,8.12956E-06,0.0
754,1.13309E-04,8.07753E-06,0.0
755,1.12538E-04,8.02586E-06,0.0
755,1.11772E-04,7.97454E-06,0.0
755,1.11012E-04,7.92358E-06,0.0
755,1.10257E-04,7.87297E-06,0.0
755,1.09508E-04,7.82271E-06,0.0
755,1.08763E-04,7.77280E-06,0.0
755,1.08025E-04,7.72323E-06,0.0
755,1.07291E-04,7.67400E-06,0.0
755,1.06563E-04,7.62511E-06,0.0
756,1.05840E-04,7.57655E-06,0.0
756,1.05122E-04,7.52833E-06,0.0
756,1.04409E-04,7.48043E-06,0.0
756,1.03701E-04,7.43285E-06,0.0
756,1.02998E-04,7.38559E-06,0.0
756,1.02300E-04,7.33865E-06,0.0
756,1.01607E-04,7.29203E-06,0.0
756,1.00918E-04,7.24572E-06,0.0
756,1.00235E-04,7.19972E-06,0.0
756,9.95565E-05,7.15402E-06,0.0
756,9.88826E-05,7.10863E-06,0.0
757,9.82134E-05,7.06354E-06,0.0
757,9.75489E-05,7.01874E-06,0.0
757,9.68889E-05,6.97424E-06,0.0
757,9.62336E-05,6.93004E-06,0.0
757,9.55828E-05,6.88612E-06,0.0
757,9.49365E-05,6.84249E-06,0.0
757,9.42947E-05,6.79914E-06,0.0
757,9.36572E-05,6.75607E-06,0.0
757,9.30242E-05,6.71329E-06,0.0
758,9.23955E-05,6.67077E-06,0.0
758,9.17711E-05,6.62854E-06,0.0
758,9.11511E-05,6.58657E-06,0.0
758,9.05352E-05,6.54487E-06,0.0
758,8.99235E-05,6.50344E-06,0.0
758,8.93161E-05,6.46228E-06,0.0
758,8.87127E-05,6.42137E-06,0.0
758,8.81135E-05,6.38073E-06,0.0
758,8.75183E-05,6.34034E-06,0.0
758,8.69272E-05,6.30020E-06,0.0
758,8.63400E-05,6.26032E-06,0.0
759,8.57568E-05,6.22069E-06,0.0
759,8.51776E-05,6.18131E-06,0.0
759,8.46023E-05,6.14217E-06,0.0
759,8.40308E-05,6.10327E-06,0.0
759,8.34631E-05,6.06462E-06,0.0
759,8.28993E-05,6.02621E-06,0.0
759,8.23393E-05,5.98803E-06,0.0
759,8.17830E-05,5.95009E-06,0.0
759,8.12304E-05,5.91238E-06,0.0
760,8.06815E-05,5.87491E-06,0.0
760,8.01362E-05,5.83766E-06,0.0
760,7.95946E-05,5.80064E-06,0.0
760,7.90566E-05,5.76385E-06,0.0
760,7.85221E-05,5.72728E-06,0.0
760,7.79912E-05,5.69093E-06,0.0
760,7.74638E-05,5.65480E-06,0.0
760,7.69399E-05,5.61889E-06,0.0
760,7.64195E-05,5.58319E-06,0.0
760,7.59025E-05,5.54772E-06,0.0
760,7.53890E-05,5.51246E-06,0.0
761,7.48790E-05,5.47742E-06,0.0
761,7.43724E-05,5.44260E-06,0.0
761,7.38692E-05,5.40799E-06,0.0
761,7.33694E-05,5.37360E-06,0.0
761,7.28730E-05,5.33942E-06,0.0
761,7.23799E-05,5.30546E-06,0.0
761,7.18903E-05,5.27170E-06,0.0
761,7.14039E-05,5.23817E-06,0.0
761,7.09209E-05,5.20484E-06,0.0
762,7.04413E-05,5.17172E-06,0.0
762,6.99649E-05,5.13882E-06,0.0
762,6.94918E-05,5.10612E-06,0.0
762,6.90220E-05,5.07363E-06,0.0
762,6.85554E-05,5.04136E-06,0.0
762,6.80921E-05,5.00929E-06,0.0
762,6.76320E-05,4.97742E-06,0.0
762,6.71752E-05,4.94577E-06,0.0
762,6.67215E-05,4.91431E-06,0.0
762,6.62710E-05,4.88307E-06,0.0
762,6.58237E-05,4.85202E-06,0.0
763,6.53796E-05,4.82118E-06,0.0
763,6.49385E-05,4.79055E-06,0.0
763,6.45007E-05,4.76011E-06,0.0
763,6.40659E-05,4.72988E-06,0.0
763,6.36342E-05,4.69984E-06,0.0
763,6.32056E-05,4.67001E-06,0.0
763,6.27800E-05,4.64037E-06,0.0
763,6.23575E-05,4.61094E-06,0.0
763,6.19380E-05,4.58170E-06,0.0
764,6.15216E-05,4.55265E-06,0.0
764,6.11081E-05,4.52380E-06,0.0
764,6.06977E-05,4.49515E-06,0.0
764,6.02902E-05,4.46669E-06,0.0
764,5.98857E-05,4.43842E-06,0.0
764,5.94841E-05,4.41034E-06,0.0
764,5.90854E-05,4.38246E-06,0.0
764,5.86896E-05,4.35477E-06,0.0
764,5.82968E-05,4.32726E-06,0.0
764,5.79068E-05,4.29995E-06,0.0
764,5.75196E-05,4.27282E-06,0.0
765,5.71354E-05,4.24588E-06,0.0
765,5.67539E-05,4.21913E-06,0.0
765,5.63753E-05,4.19256E-06,0.0
765,5.59994E-05,4.16618E-06,0.0
765,5.56264E-05,4.13998E-06,0.0
765,5.52561E-05,4.11396E-06,0.0
765,5.48886E-05,4.08813E-06,0.0
765,5.45237E-05,4.06247E-06,0.0
765,5.41616E-05,4.03699E-06,0.0
766,5.38020E-05,4.01169E-06,0.0
766,5.34451E-05,3.98656E-06,0.0
766,5.30908E-05,3.96160E-06,0.0
766,5.27390E-05,3.93681E-06,0.0
766,5.23897E-05,3.91218E-06,0.0
766,5.20430E-05,3.88772E-06,0.0
766,5.16987E-05,3.86343E-06,0.0
766,5.13568E-05,3.83930E-06,0.0
766,5.10174E-05,3.81532E-06,0.0
766,5.06803E-05,3.79151E-06,0.0
766,5.03456E-05,3.76785E-06,0.0
767,5.00132E-05,3.74435E-06,0.0
767,4.96831E-05,3.72100E-06,0.0
767,4.93553E-05,3.69780E-06,0.0
767,4.90297E-05,3.67476E-06,0.0
767,4.87063E-05,3.65186E-06,0.0
767,4.83852E-05,3.62911E-06,0.0
767,4.80662E-05,3.60650E-06,0.0
767,4.77494E-05,3.58404E-06,0.0
767,4.74347E-05,3.56172E-06,0.0
768,4.71222E-05,3.53954E-06,0.0
768,4.68116E-05,3.51750E-06,0.0
768,4.65032E-05,3.49559E-06,0.0
768,4.61968E-05,3.47383E-06,0.0
768,4.58924E-05,3.45220E-06,0.0
768,4.55900E-05,3.43070E-06,0.0
768,4.52896E-05,3.40933E-06,0.0
768,4.49911E-05,3.38810E-06,0.0
768,4.46945E-05,3.36700E-06,0.0
768,4.43999E-05,3.34602E-06,0.0
768,4.41071E-05,3.32517E-06,0.0
769,4.38162E-05,3.30445E-06,0.0
769,4.35272E-05,3.28385E-06,0.0
769,4.32400E-05,3.26337E-06,0.0
769,4.29546E-05,3.24302E-06,0.0
769,4.26710E-05,3.22278E-06,0.0
769,4.23892E-05,3.20267E-06,0.0
769,4.21091E-05,3.18267E-06,0.0
769,4.18307E-05,3.16279E-06,0.0
769,4.15541E-05,3.14303E-06,0.0
770,4.12792E-05,3.12338E-06,0.0
770,4.10059E-05,3.10385E-06,0.0
770,4.07343E-05,3.08443E-06,0.0
770,4.04644E-05,3.06512E-06,0.0
770,4.01961E-05,3.04592E-06,0.0
770,3.99295E-05,3.02683E-06,0.0
770,3.96644E-05,3.00785E-06,0.0
770,3.94009E-05,2.98897E-06,0.0
770,3.91391E-05,2.97021E-06,0.0
770,3.88788E-05,2.95155E-06,0.0
770,3.86201E-05,2.93301E-06,0.0
771,3.83631E-05,2.91457E-06,0.0
771,3.81076E-05,2.89624E-06,0.0
771,3.78538E-05,2.87802E-06,0.0
771,3.76016E-05,2.85992E-06,0.0
771,3.73509E-05,2.84192E-06,0.0
771,3.71019E-05,2.82403E-06,0.0
771,3.68545E-05,2.80625E-06,0.0
771,3.66087E-05,2.78858E-06,0.0
771,3.63644E-05,2.77102E-06,0.0
772,3.61218E-05,2.75356E-06,0.0
772,3.58808E-05,2.73622E-06,0.0
772,3.56414E-05,2.71899E-06,0.0
772,3.54035E-05,2.70187E-06,0.0
772,3.51673E-05,2.68485E-06,0.0
772,3.49326E-05,2.66795E-06,0.0
772,3.46996E-05,2.65116E-06,0.0
772,3.44681E-05,2.63447E-06,0.0
772,3.42382E-05,2.61790E-06,0.0
772,3.40099E-05,2.60143E-06,0.0
772,3.37832E-05,2.58507E-06,0.0
773,3.35580E-05,2.56882E-06,0.0
773,3.33344E-05,2.55268E-06,0.0
773,3.31124E-05,2.53665E-06,0.0
773,3.28919E-05,2.52073E-06,0.0
773,3.26730E-05,2.50491E-06,0.0
773,3.24557E-05,2.48921E-06,0.0
773,3.22399E-05,2.47361E-06,0.0
773,3.20257E-05,2.45812E-06,0.0
773,3.18130E-05,2.44273E-06,0.0
774,3.16018E-05,2.42746E-06,0.0
774,3.13922E-05,2.41229E-06,0.0
774,3.11841E-05,2.39722E-06,0.0
774,3.09776E-05,2.38227E-06,0.0
774,3.07725E-05,2.36742E-06,0.0
774,3.05690E-05,2.35267E-06,0.0
774,3.03670E-05,2.33803E-06,0.0
774,3.01665E-05,2.32350E-06,0.0
774,2.99675E-05,2.30907E-06,0.0
774,2.97700E-05,2.29475E-06,0.0
774,2.95740E-05,2.28053E-06,0.0
775,2.93795E-05,2.26642E-06,0.0
775,2.91865E-05,2.25241E-06,0.0
775,2.89950E-05,2.23851E-06,0.0
775,2.88049E-05,2.22470E-06,0.0
775,2.86163E-05,2.21100E-06,0.0
775,2.84291E-05,2.19741E-06,0.0
775,2.82434E-05,2.18391E-06,0.0
775,2.80592E-05,2.17052E-06,0.0
775,2.78763E-05,2.15722E-06,0.0
776,2.76948E-05,2.14402E-06,0.0
776,2.75147E-05,2.13092E-06,0.0
776,2.73360E-05,2.11792E-06,0.0
776,2.71585E-05,2.10500E-06,0.0
776,2.69825E-05,2.09219E-06,0.0
776,2.68077E-05,2.07946E-06,0.0
776,2.66342E-05,2.06682E-06,0.0
776,2.64620E-05,2.05428E-06,0.0
776,2.62911E-05,2.04182E-06,0.0
776,2.61214E-05,2.02945E-06,0.0
776,2.59529E-05,2.01716E-06,0.0
777,2.57857E-05,2.00496E-06,0.0
777,2.56196E-05,1.99285E-06,0.0
777,2.54548E-05,1.98082E-06,0.0
777,2.52911E-05,1.96887E-06,0.0
777,2.51286E-05,1.95700E-06,0.0
777,2.49672E-05,1.94521E-06,0.0
777,2.48070E-05,1.93350E-06,0.0
777,2.46479E-05,1.92187E-06,0.0
777,2.44899E-05,1.91032E-06,0.0
778,2.43330E-05,1.89884E-06,0.0
778,2.41772E-05,1.88744E-06,0.0
778,2.40224E-05,1.87612E-06,0.0
778,2.38687E-05,1.86486E-06,0.0
778,2.37161E-05,1.85368E-06,0.0
778,2.35645E-05,1.84258E-06,0.0
778,2.34139E-05,1.83154E-06,0.0
778,2.32643E-05,1.82057E-06,0.0
778,2.31157E-05,1.80968E-06,0.0
778,2.29681E-05,1.79885E-06,0.0
778,2.28215E-05,1.78809E-06,0.0
779,2.26758E-05,1.77740E-06,0.0
779,2.25311E-05,1.76677E-06,0.0
779,2.23873E-05,1.75621E-06,0.0
779,2.22445E-05,1.74571E-06,0.0
779,2.21026E-05,1.73528E-06,0.0
779,2.19616E-05,1.72491E-06,0.0
779,2.18215E-05,1.71461E-06,0.0
779,2.16823E-05,1.70436E-06,0.0
779,2.15440E-05,1.69418E-06,0.0
780,2.14066E-05,1.68406E-06,0.0
780,2.12700E-05,1.67399E-06,0.0
780,2.11343E-05,1.66399E-06,0.0
780,2.09994E-05,1.65404E-06,0.0
780,2.08653E-05,1.64416E-06,0.0
780,2.07321E-05,1.63433E-06,0.0
780,2.05997E-05,1.62455E-06,0.0
780,2.04682E-05,1.61484E-06,0.0
780,2.03374E-05,1.60517E-06,0.0
780,2.02074E-05,1.59557E-06,0.0
780,2.00783E-05,1.58602E-06,0.0
781,1.99499E-05,1.57653E-06,0.0
781,1.98223E-05,1.56709E-06,0.0
781,1.96956E-05,1.55770E-06,0.0
781,1.95696E-05,1.54837E-06,0.0
781,1.94444E-05,1.53910E-06,0.0
781,1.93200E-05,1.52988E-06,0.0
781,1.91964E-05,1.52071E-06,0.0
781,1.90735E-05,1.51160E-06,0.0
781,1.89515E-05,1.50255E-06,0.0
782,1.88302E-05,1.49354E-06,0.0
782,1.87096E-05,1.48459E-06,0.0
782,1.85899E-05,1.47569E-06,0.0
782,1.84709E-05,1.46685E-06,0.0
782,1.83526E-05,1.45806E-06,0.0
782,1.82351E-05,1.44932E-06,0.0
782,1.81184E-05,1.44063E-06,0.0
782,1.80024E-05,1.43200E-06,0.0
782,1.78871E-05,1.42342E-06,0.0
782,1.77726E-05,1.41489E-06,0.0
782,1.76588E-05,1.40641E-06,0.0
783,1.75457E-05,1.39798E-06,0.0
783,1.74334E-05,1.38960E-06,0.0
783,1.73218E-05,1.38128E-06,0.0
783,1.72109E-05,1.37300E-06,0.0
783,1.71008E-05,1.36478E-06,0.0
783,1.69914E-05,1.35660E-06,0.0
783,1.68826E-05,1.34848E-06,0.0
783,1.67746E-05,1.34040E-06,0.0
783,1.66673E-05,1.33238E-06,0.0
784,1.65607E-05,1.32440E-06,0.0
784,1.64547E-05,1.31648E-06,0.0
784,1.63495E-05,1.30860E-06,0.0
784,1.62450E-05,1.30077E-06,0.0
784,1.61411E-05,1.29299E-06,0.0
784,1.60380E-05,1.28526E-06,0.0
784,1.59355E-05,1.27757E-06,0.0
784,1.58337E-05,1.26994E-06,0.0
784,1.57326E-05,1.26235E-06,0.0
784,1.56321E-05,1.25481E-06,0.0
784,1.55323E-05,1.24731E-06,0.0
785,1.54332E-05,1.23986E-06,0.0
785,1.53347E-05,1.23246E-06,0.0
785,1.52369E-05,1.22511E-06,0.0
785,1.51397E-05,1.21780E-06,0.0
785,1.50432E-05,1.21054E-06,0.0
785,1.49473E-05,1.20332E-06,0.0
785,1.48521E-05,1.19615E-06,0.0
785,1.47575E-05,1.18903E-06,0.0
785,1.46636E-05,1.18194E-06,0.0
786,1.45702E-05,1.17491E-06,0.0
786,1.44775E-05,1.16792E-06,0.0
786,1.43854E-05,1.16097E-06,0.0
786,1.42939E-05,1.15406E-06,0.0
786,1.42030E-05,1.14720E-06,0.0
786,1.41127E-05,1.14038E-06,0.0
786,1.40231E-05,1.13360E-06,0.0
786,1.39340E-05,1.12687E-06,0.0
786,1.38455E-05,1.12017E-06,0.0
786,1.37575E-05,1.11352E-06,0.0
786,1.36702E-05,1.10691E-06,0.0
787,1.35834E-05,1.10034E-06,0.0
787,1.34972E-05,1.09381E-06,0.0
787,1.34116E-05,1.08732E-06,0.0
787,1.33265E-05,1.08087E-06,0.0
787,1.32420E-05,1.07446E-06,0.0
787,1.31580E-05,1.06809E-06,0.0
787,1.30746E-05,1.06176E-06,0.0
787,1.29917E-05,1.05547E-06,0.0
787,1.29093E-05,1.04921E-06,0.0
788,1.28275E-05,1.04300E-06,0.0
788,1.27462E-05,1.03682E-06,0.0
788,1.26655E-05,1.03068E-06,0.0
788,1.25852E-05,1.02457E-06,0.0
788,1.25055E-05,1.01850E-06,0.0
788,1.24263E-05,1.01247E-06,0.0
788,1.23476E-05,1.00648E-06,0.0
788,1.22695E-05,1.00052E-06,0.0
788,1.21918E-05,9.94601E-07,0.0
788,1.21146E-05,9.88714E-07,0.0
788,1.20379E-05,9.82863E-07,0.0
789,1.19617E-05,9.77048E-07,0.0
789,1.18860E-05,9.71267E-07,0.0
789,1.18108E-05,9.65520E-07,0.0
789,1.17361E-05,9.59808E-07,0.0
789,1.16618E-05,9.54130E-07,0.0
789,1.15880E-05,9.48486E-07,0.0
789,1.15147E-05,9.42875E-07,0.0
789,1.14418E-05,9.37298E-07,0.0
789,1.13694E-05,9.31754E-07,0.0
790,1.12975E-05,9.26242E-07,0.0
790,1.12260E-05,9.20763E-07,0.0
790,1.11550E-05,9.15317E-07,0.0
790,1.10844E-05,9.09903E-07,0.0
790,1.10143E-05,9.04520E-07,0.0
790,1.09446E-05,8.99170E-07,0.0
790,1.08754E-05,8.93851E-07,0.0
790,1.08066E-05,8.88563E-07,0.0
790,1.07382E-05,8.83306E-07,0.0
790,1.06702E-05,8.78081E-07,0.0
790,1.06027E-05,8.72887E-07,0.0
791,1.05356E-05,8.67724E-07,0.0
791,1.04690E-05,8.62591E-07,0.0
791,1.04028E-05,8.57490E-07,0.0
791,1.03369E-05,8.52419E-07,0.0
791,1.02716E-05,8.47379E-07,0.0
791,1.02066E-05,8.42369E-07,0.0
791,1.01420E-05,8.37389E-07,0.0
791,1.00779E-05,8.32440E-07,0.0
791,1.00142E-05,8.27521E-07,0.0
792,9.95086E-06,8.22632E-07,0.0
792,9.88795E-06,8.17773E-07,0.0
792,9.82545E-06,8.12944E-07,0.0
792,9.76335E-06,8.08145E-07,0.0
792,9.70166E-06,8.03375E-07,0.0
792,9.64036E-06,7.98635E-07,0.0
792,9.57947E-06,7.93924E-07,0.0
792,9.51897E-06,7.89242E-07,0.0
792,9.45886E-06,7.84590E-07,0.0
792,9.39914E-06,7.79967E-07,0.0
792,9.33982E-06,7.75372E-07,0.0
793,9.28088E-06,7.70807E-07,0.0
793,9.22233E-06,7.66270E-07,0.0
793,9.16416E-06,7.61762E-07,0.0
793,9.10638E-06,7.57283E-07,0.0
793,9.04897E-06,7.52832E-07,0.0
793,8.99194E-06,7.48409E-07,0.0
793,8.93529E-06,7.44014E-07,0.0
793,8.87901E-06,7.39648E-07,0.0
793,8.82310E-06,7.35309E-07,0.0
794,8.76756E-06,7.30998E-07,0.0
794,8.71239E-06,7.26715E-07,0.0
794,8.65759E-06,7.22460E-07,0.0
794,8.60314E-06,7.18231E-07,0.0
794,8.54907E-06,7.14031E-07,0.0
794,8.49535E-06,7.09857E-07,0.0
794,8.44198E-06,7.05711E-07,0.0
794,8.38898E-06,7.01592E-07,0.0
794,8.33633E-06,6.97499E-07,0.0
794,8.28403E-06,6.93433E-07,0.0
794,8.23207E-06,6.89394E-07,0.0
795,8.18047E-06,6.85382E-07,0.0
795,8.12922E-06,6.81395E-07,0.0
795,8.07830E-06,6.77436E-07,0.0
795,8.02773E-06,6.73502E-07,0.0
795,7.97750E-06,6.69594E-07,0.0
795,7.92761E-06,6.65712E-07,0.0
795,7.87806E-06,6.61856E-07,0.0
795,7.82883E-06,6.58026E-07,0.0
795,7.77994E-06,6.54220E-07,0.0
796,7.73138E-06,6.50440E-07,0.0
796,7.68314E-06,6.46684E-07,0.0
796,7.63523E-06,6.42954E-07,0.0
796,7.58764E-06,6.39247E-07,0.0
796,7.54037E-06,6.35565E-07,0.0
796,7.49341E-06,6.31907E-07,0.0
796,7.44677E-06,6.28273E-07,0.0
796,7.40044E-06,6.24662E-07,0.0
796,7.35442E-06,6.21075E-07,0.0
796,7.30871E-06,6.17511E-07,0.0
796,7.26331E-06,6.13970E-07,0.0
797,7.21821E-06,6.10451E-07,0.0
797,7.17340E-06,6.06956E-07,0.0
797,7.12890E-06,6.03483E-07,0.0
797,7.08470E-06,6.00032E-07,0.0
797,7.04079E-06,5.96604E-07,0.0
797,6.99717E-06,5.93197E-07,0.0
797,6.95384E-06,5.89812E-07,0.0
797,6.91081E-06,5.86449E-07,0.0
797,6.86805E-06,5.83107E-07,0.0
798,6.82559E-06,5.79786E-07,0.0
798,6.78340E-06,5.76486E-07,0.0
798,6.74149E-06,5.73208E-07,0.0
798,6.69987E-06,5.69949E-07,0.0
798,6.65852E-06,5.66712E-07,0.0
798,6.61744E-06,5.63495E-07,0.0
798,6.57663E-06,5.60298E-07,0.0
798,6.53610E-06,5.57121E-07,0.0
798,6.49583E-06,5.53964E-07,0.0
798,6.45583E-06,5.50826E-07,0.0
798,6.41610E-06,5.47709E-07,0.0
799,6.37663E-06,5.44610E-07,0.0
799,6.33742E-06,5.41531E-07,0.0
799,6.29846E-06,5.38471E-07,0.0
799,6.25977E-06,5.35430E-07,0.0
799,6.22133E-06,5.32408E-07,0.0
799,6.18314E-06,5.29404E-07,0.0
799,6.14521E-06,5.26419E-07,0.0
799,6.10752E-06,5.23453E-07,0.0
799,6.07008E-06,5.20504E-07,0.0
800,6.03289E-06,5.17574E-07,0.0
800,5.99595E-06,5.14661E-07,0.0
800,5.95924E-06,5.11766E-07,0.0
800,5.92278E-06,5.08889E-07,0.0
800,5.88656E-06,5.06030E-07,0.0
800,5.85057E-06,5.03187E-07,0.0
800,5.81482E-06,5.00362E-07,0.0
800,5.77931E-06,4.97554E-07,0.0
800,5.74402E-06,4.94763E-07,0.0
800,5.70897E-06,4.91989E-07,0.0
800,5.67414E-06,4.89231E-07,0.0
801,5.63954E-06,4.86490E-07,0.0
801,5.60516E-06,4.83765E-07,0.0
801,5.57100E-06,4.81056E-07,0.0
801,5.53706E-06,4.78363E-07,0.0
801,5.50333E-06,4.75686E-07,0.0
801,5.46982E-06,4.73025E-07,0.0
801,5.43653E-06,4.70379E-07,0.0
801,5.40344E-06,4.67748E-07,0.0
801,5.37056E-06,4.65133E-07,0.0
802,5.33789E-06,4.62533E-07,0.0
802,5.30542E-06,4.59948E-07,0.0
802,5.27316E-06,4.57377E-07,0.0
802,5.24110E-06,4.54821E-07,0.0
802,5.20923E-06,4.52280E-07,0.0
802,5.17756E-06,4.49753E-07,0.0
802,5.14609E-06,4.47241E-07,0.0
802,5.11481E-06,4.44742E-07,0.0
802,5.08373E-06,4.42258E-07,0.0
802,5.05283E-06,4.39787E-07,0.0
802,5.02212E-06,4.37330E-07,0.0
803,4.99160E-06,4.34887E-07,0.0
803,4.96127E-06,4.32458E-07,0.0
803,4.93111E-06,4.30041E-07,0.0
803,4.90114E-06,4.27639E-07,0.0
803,4.87135E-06,4.25249E-07,0.0
803,4.84174E-06,4.22872E-07,0.0
803,4.81230E-06,4.20508E-07,0.0
803,4.78304E-06,4.18157E-07,0.0
803,4.75396E-06,4.15819E-07,0.0
804,4.72504E-06,4.13493E-07,0.0
804,4.69630E-06,4.11180E-07,0.0
804,4.66772E-06,4.08879E-07,0.0
804,4.63932E-06,4.06590E-07,0.0
804,4.61108E-06,4.04314E-07,0.0
804,4.58300E-06,4.02050E-07,0.0
804,4.55509E-06,3.99797E-07,0.0
804,4.52734E-06,3.97557E-07,0.0
804,4.49975E-06,3.95328E-07,0.0
804,4.47232E-06,3.93111E-07,0.0
804,4.44505E-06,3.90905E-07,0.0
805,4.41794E-06,3.88711E-07,0.0
805,4.39098E-06,3.86528E-07,0.0
805,4.36417E-06,3.84356E-07,0.0
805,4.33752E-06,3.82196E-07,0.0
805,4.31102E-06,3.80046E-07,0.0
805,4.28467E-06,3.77908E-07,0.0
805,4.25846E-06,3.75781E-07,0.0
805,4.23241E-06,3.73664E-07,0.0
805,4.20651E-06,3.71559E-07,0.0
806,4.18076E-06,3.69464E-07,0.0
806,4.15515E-06,3.67381E-07,0.0
806,4.12970E-06,3.65308E-07,0.0
806,4.10439E-06,3.63247E-07,0.0
806,4.07923E-06,3.61196E-07,0.0
806,4.05422E-06,3.59156E-07,0.0
806,4.02936E-06,3.57127E-07,0.0
806,4.00464E-06,3.55109E-07,0.0
806,3.98007E-06,3.53102E-07,0.0
806,3.95564E-06,3.51106E-07,0.0
806,3.93136E-06,3.49121E-07,0.0
807,3.90723E-06,3.47146E-07,0.0
807,3.88324E-06,3.45182E-07,0.0
807,3.85939E-06,3.43230E-07,0.0
807,3.83569E-06,3.41288E-07,0.0
807,3.81213E-06,3.39356E-07,0.0
807,3.78872E-06,3.37436E-07,0.0
807,3.76545E-06,3.35526E-07,0.0
807,3.74232E-06,3.33627E-07,0.0
807,3.71934E-06,3.31739E-07,0.0
808,3.69649E-06,3.29861E-07,0.0
808,3.67379E-06,3.27994E-07,0.0
808,3.65123E-06,3.26138E-07,0.0
808,3.62881E-06,3.24292E-07,0.0
808,3.60653E-06,3.22457E-07,0.0
808,3.58438E-06,3.20633E-07,0.0
808,3.56238E-06,3.18819E-07,0.0
808,3.54052E-06,3.17016E-07,0.0
808,3.51879E-06,3.15223E-07,0.0
808,3.49720E-06,3.13441E-07,0.0
808,3.47575E-06,3.11669E-07,0.0
809,3.45443E-06,3.09907E-07,0.0
809,3.43325E-06,3.08156E-07,0.0
809,3.41221E-06,3.06416E-07,0.0
809,3.39130E-06,3.04686E-07,0.0
809,3.37053E-06,3.02966E-07,0.0
809,3.34989E-06,3.01256E-07,0.0
809,3.32938E-06,2.99557E-07,0.0
809,3.30901E-06,2.97868E-07,0.0
809,3.28877E-06,2.96189E-07,0.0
810,3.26866E-06,2.94520E-07,0.0
810,3.24869E-06,2.92862E-07,0.0
810,3.22884E-06,2.91213E-07,0.0
810,3.20913E-06,2.89575E-07,0.0
810,3.18954E-06,2.87947E-07,0.0
810,3.17009E-06,2.86329E-07,0.0
810,3.15076E-06,2.84721E-07,0.0
810,3.13156E-06,2.83122E-07,0.0
810,3.11249E-06,2.81534E-07,0.0
810,3.09354E-06,2.79955E-07,0.0
810,3.07472E-06,2.78387E-07,0.0
811,3.05603E-06,2.76828E-07,0.0
811,3.03746E-06,2.75278E-07,0.0
811,3.01901E-06,2.73738E-07,0.0
811,3.00068E-06,2.72208E-07,0.0
811,2.98248E-06,2.70687E-07,0.0
811,2.96439E-06,2.69175E-07,0.0
811,2.94643E-06,2.67672E-07,0.0
811,2.92858E-06,2.66179E-07,0.0
811,2.91085E-06,2.64695E-07,0.0
812,2.89324E-06,2.63220E-07,0.0
812,2.87574E-06,2.61754E-07,0.0
812,2.85836E-06,2.60297E-07,0.0
812,2.84110E-06,2.58849E-07,0.0
812,2.82395E-06,2.57410E-07,0.0
812,2.80691E-06,2.55980E-07,0.0
812,2.78998E-06,2.54558E-07,0.0
812,2.77317E-06,2.53145E-07,0.0
812,2.75646E-06,2.51741E-07,0.0
812,2.73987E-06,2.50345E-07,0.0
812,2.72338E-06,2.48957E-07,0.0
813,2.70701E-06,2.47579E-07,0.0
813,2.69074E-06,2.46208E-07,0.0
813,2.67458E-06,2.44846E-07,0.0
813,2.65852E-06,2.43492E-07,0.0
813,2.64257E-06,2.42147E-07,0.0
813,2.62673E-06,2.40809E-07,0.0
813,2.61099E-06,2.39480E-07,0.0
813,2.59535E-06,2.38158E-07,0.0
813,2.57982E-06,2.36845E-07,0.0
814,2.56439E-06,2.35540E-07,0.0
814,2.54906E-06,2.34242E-07,0.0
814,2.53383E-06,2.32953E-07,0.0
814,2.51870E-06,2.31671E-07,0.0
814,2.50366E-06,2.30397E-07,0.0
814,2.48873E-06,2.29130E-07,0.0
814,2.47390E-06,2.27872E-07,0.0
814,2.45916E-06,2.26620E-07,0.0
814,2.44452E-06,2.25377E-07,0.0
814,2.42997E-06,2.24141E-07,0.0
814,2.41552E-06,2.22912E-07,0.0
815,2.40117E-06,2.21691E-07,0.0
815,2.38691E-06,2.20477E-07,0.0
815,2.37274E-06,2.19270E-07,0.0
815,2.35867E-06,2.18071E-07,0.0
815,2.34468E-06,2.16878E-07,0.0
815,2.33079E-06,2.15693E-07,0.0
815,2.31699E-06,2.14515E-07,0.0
815,2.30328E-06,2.13344E-07,0.0
815,2.28966E-06,2.12180E-07,0.0
816,2.27612E-06,2.11023E-07,0.0
816,2.26268E-06,2.09872E-07,0.0
816,2.24931E-06,2.08729E-07,0.0
816,2.23604E-06,2.07592E-07,0.0
