Wavelength,x,y,z
406,0.17471,0.02247,0.80282
406,0.17468,0.02245,0.80286
407,0.17466,0.02243,0.80291
407,0.17464,0.02241,0.80295
407,0.17462,0.02239,0.80299
407,0.17459,0.02237,0.80303
407,0.17457,0.02236,0.80308
407,0.17455,0.02234,0.80312
407,0.17452,0.02232,0.80316
407,0.17450,0.02230,0.80320
407,0.17447,0.02228,0.80324
408,0.17445,0.02227,0.80328
408,0.17443,0.02225,0.80332
408,0.17440,0.02223,0.80337
408,0.17438,0.02222,0.80341
408,0.17435,0.02220,0.80345
408,0.17432,0.02218,0.80349
408,0.17430,0.02217,0.80354
408,0.17427,0.02215,0.80358
408,0.17425,0.02213,0.80362
408,0.17422,0.02212,0.80366
408,0.17419,0.02210,0.80371
409,0.17416,0.02208,0.80375
409,0.17414,0.02207,0.80380
409,0.17411,0.02205,0.80384
409,0.17408,0.02204,0.80389
409,0.17405,0.02202,0.80393
409,0.17402,0.02200,0.80398
409,0.17399,0.02199,0.80402
409,0.17396,0.02197,0.80407
409,0.17393,0.02195,0.80412
410,0.17389,0.02194,0.80417
410,0.17386,0.02192,0.80422
410,0.17383,0.02190,0.80427
410,0.17379,0.02189,0.80432
410,0.17376,0.02187,0.80437
410,0.17372,0.02185,0.80442
410,0.17369,0.02184,0.80448
410,0.17365,0.02182,0.80453
410,0.17361,0.02180,0.80458
410,0.17357,0.02179,0.80464
410,0.17354,0.02177,0.80470
411,0.17350,0.02175,0.80475
411,0.17346,0.02173,0.80481
411,0.17342,0.02172,0.80487
411,0.17337,0.02170,0.80493
411,0.17333,0.02168,0.80499
411,0.17329,0.02166,0.80505
411,0.17325,0.02164,0.80511
411,0.17321,0.02163,0.80517
411,0.17316,0.02161,0.80523
412,0.17312,0.02159,0.80529
412,0.17308,0.02157,0.80535
412,0.17303,0.02156,0.80541
412,0.17299,0.02154,0.80547
412,0.17294,0.02152,0.80554
412,0.17290,0.02150,0.80560
412,0.17285,0.02149,0.80566
412,0.17281,0.02147,0.80573
412,0.17276,0.02145,0.80579
412,0.17271,0.02143,0.80585
412,0.17267,0.02142,0.80591
413,0.17262,0.02140,0.80598
413,0.17258,0.02138,0.80604
413,0.17253,0.02137,0.80611
413,0.17248,0.02135,0.80617
413,0.17243,0.02133,0.80623
413,0.17239,0.02132,0.80629
413,0.17234,0.02130,0.80636
413,0.17229,0.02129,0.80642
413,0.17225,0.02127,0.80648
414,0.17220,0.02126,0.80655
414,0.17215,0.02124,0.80661
414,0.17211,0.02123,0.80667
414,0.17206,0.02121,0.80673
414,0.17201,0.02120,0.80679
414,0.17196,0.02118,0.80685
414,0.17192,0.02117,0.80691
414,0.17187,0.02115,0.80697
414,0.17182,0.02114,0.80703
414,0.17178,0.02113,0.80709
414,0.17173,0.02112,0.80715
415,0.17169,0.02110,0.80721
415,0.17164,0.02109,0.80727
415,0.17160,0.02108,0.80732
415,0.17155,0.02107,0.80738
415,0.17151,0.02106,0.80744
415,0.17146,0.02105,0.80749
415,0.17142,0.02104,0.80755
415,0.17137,0.02103,0.80760
415,0.17133,0.02102,0.80765
416,0.17128,0.02101,0.80771
416,0.17124,0.02100,0.80776
416,0.17120,0.02099,0.80781
416,0.17115,0.02098,0.80786
416,0.17111,0.02098,0.80791
416,0.17107,0.02097,0.80796
416,0.17103,0.02096,0.80801
416,0.17098,0.02095,0.80806
416,0.17094,0.02095,0.80811
416,0.17090,0.02094,0.80816
416,0.17086,0.02094,0.80821
417,0.17082,0.02093,0.80825
417,0.17077,0.02093,0.80830
417,0.17073,0.02092,0.80834
417,0.17069,0.02092,0.80839
417,0.17065,0.02092,0.80844
417,0.17061,0.02091,0.80848
417,0.17056,0.02091,0.80853
417,0.17052,0.02091,0.80857
417,0.17048,0.02091,0.80861
418,0.17044,0.02090,0.80866
418,0.17040,0.02090,0.80870
418,0.17036,0.02090,0.80874
418,0.17031,0.02090,0.80878
418,0.17027,0.02090,0.80883
418,0.17023,0.02090,0.80887
418,0.17019,0.02090,0.80891
418,0.17014,0.02090,0.80895
418,0.17010,0.02091,0.80899
418,0.17006,0.02091,0.80903
418,0.17002,0.02091,0.80907
419,0.16997,0.02091,0.80911
419,0.16993,0.02092,0.80915
419,0.16989,0.02092,0.80919
419,0.16984,0.02092,0.80923
419,0.16980,0.02093,0.80927
419,0.16976,0.02093,0.80931
419,0.16971,0.02094,0.80935
419,0.16967,0.02095,0.80939
419,0.16962,0.02095,0.80943
420,0.16958,0.02096,0.80947
420,0.16953,0.02097,0.80950
420,0.16948,0.02097,0.80954
420,0.16944,0.02098,0.80958
420,0.16939,0.02099,0.80962
420,0.16935,0.02100,0.80966
420,0.16930,0.02101,0.80970
420,0.16925,0.02102,0.80973
420,0.16920,0.02103,0.80977
420,0.16915,0.02104,0.80981
420,0.16910,0.02105,0.80985
421,0.16906,0.02106,0.80988
421,0.16901,0.02107,0.80992
421,0.16896,0.02108,0.80996
421,0.16891,0.02110,0.81000
421,0.16886,0.02111,0.81004
421,0.16881,0.02112,0.81007
421,0.16875,0.02114,0.81011
421,0.16870,0.02115,0.81015
421,0.16865,0.02116,0.81018
422,0.16860,0.02118,0.81022
422,0.16855,0.02119,0.81026
422,0.16850,0.02121,0.81029
422,0.16844,0.02123,0.81033
422,0.16839,0.02124,0.81037
422,0.16834,0.02126,0.81040
422,0.16828,0.02128,0.81044
422,0.16823,0.02129,0.81048
422,0.16818,0.02131,0.81051
422,0.16812,0.02133,0.81055
422,0.16807,0.02135,0.81058
423,0.16802,0.02137,0.81062
423,0.16796,0.02138,0.81065
423,0.16791,0.02140,0.81069
423,0.16785,0.02142,0.81072
423,0.16780,0.02144,0.81076
423,0.16775,0.02146,0.81079
423,0.16769,0.02148,0.81083
423,0.16764,0.02150,0.81086
423,0.16758,0.02152,0.81089
424,0.16753,0.02154,0.81093
424,0.16747,0.02157,0.81096
424,0.16742,0.02159,0.81099
424,0.16737,0.02161,0.81103
424,0.16731,0.02163,0.81106
424,0.16726,0.02165,0.81109
424,0.16720,0.02168,0.81112
424,0.16715,0.02170,0.81115
424,0.16710,0.02172,0.81118
424,0.16704,0.02174,0.81122
424,0.16699,0.02177,0.81125
425,0.16693,0.02179,0.81128
425,0.16688,0.02181,0.81131
425,0.16683,0.02184,0.81134
425,0.16677,0.02186,0.81137
425,0.16672,0.02188,0.81140
425,0.16667,0.02191,0.81142
425,0.16662,0.02193,0.81145
425,0.16656,0.02196,0.81148
425,0.16651,0.02198,0.81151
426,0.16646,0.02201,0.81154
426,0.16641,0.02203,0.81156
426,0.16636,0.02206,0.81159
426,0.16630,0.02208,0.81162
426,0.16625,0.02211,0.81164
426,0.16620,0.02213,0.81167
426,0.16615,0.02216,0.81169
426,0.16610,0.02218,0.81172
426,0.16605,0.02221,0.81174
426,0.16600,0.02224,0.81177
