Wavelength,X,Y,Z
390,2.95242E-03,4.07678E-04,1.31875E-02
390,3.00968E-03,4.15935E-04,1.34431E-02
390,3.06805E-03,4.24353E-04,1.37037E-02
390,3.12755E-03,4.32932E-04,1.39693E-02
390,3.18819E-03,4.41677E-04,1.42401E-02
390,3.24999E-03,4.50590E-04,1.45162E-02
391,3.31299E-03,4.59674E-04,1.47976E-02
391,3.37719E-03,4.68932E-04,1.50845E-02
391,3.44263E-03,4.78366E-04,1.53769E-02
391,3.50931E-03,4.87980E-04,1.56750E-02
391,3.57727E-03,4.97777E-04,1.59788E-02
391,3.64653E-03,5.07759E-04,1.62885E-02
391,3.71711E-03,5.17930E-04,1.66042E-02
391,3.78903E-03,5.28293E-04,1.69259E-02
391,3.86232E-03,5.38851E-04,1.72538E-02
392,3.93701E-03,5.49608E-04,1.75880E-02
392,4.01310E-03,5.60565E-04,1.79287E-02
392,4.09064E-03,5.71728E-04,1.82758E-02
392,4.16964E-03,5.83098E-04,1.86296E-02
392,4.25014E-03,5.94679E-04,1.89902E-02
392,4.33215E-03,6.06475E-04,1.93576E-02
392,4.41570E-03,6.18490E-04,1.97320E-02
392,4.50082E-03,6.30725E-04,2.01135E-02
392,4.58754E-03,6.43186E-04,2.05023E-02
392,4.67588E-03,6.55875E-04,2.08985E-02
392,4.76588E-03,6.68795E-04,2.13021E-02
393,4.85755E-03,6.81952E-04,2.17134E-02
393,4.95093E-03,6.95347E-04,2.21325E-02
393,5.04605E-03,7.08985E-04,2.25594E-02
393,5.14293E-03,7.22869E-04,2.29944E-02
393,5.24161E-03,7.37004E-04,2.34376E-02
393,5.34211E-03,7.51392E-04,2.38890E-02
393,5.44447E-03,7.66038E-04,2.43490E-02
393,5.54872E-03,7.80945E-04,2.48175E-02
393,5.65488E-03,7.96118E-04,2.52947E-02
394,5.76299E-03,8.11559E-04,2.57809E-02
394,5.87308E-03,8.27274E-04,2.62760E-02
394,5.98518E-03,8.43265E-04,2.67804E-02
394,6.09933E-03,8.59537E-04,2.72941E-02
394,6.21556E-03,8.76093E-04,2.78174E-02
394,6.33390E-03,8.92939E-04,2.83502E-02
394,6.45439E-03,9.10077E-04,2.88929E-02
394,6.57706E-03,9.27512E-04,2.94456E-02
394,6.70194E-03,9.45247E-04,3.00083E-02
394,6.82907E-03,9.63288E-04,3.05814E-02
394,6.95849E-03,9.81637E-04,3.11650E-02
395,7.09023E-03,1.00030E-03,3.17592E-02
395,7.22433E-03,1.01928E-03,3.23642E-02
395,7.36082E-03,1.03858E-03,3.29802E-02
395,7.49974E-03,1.05821E-03,3.36074E-02
395,7.64114E-03,1.07817E-03,3.42459E-02
395,7.78504E-03,1.09846E-03,3.48959E-02
395,7.93148E-03,1.11909E-03,3.55576E-02
395,8.08051E-03,1.14006E-03,3.62312E-02
395,8.23216E-03,1.16138E-03,3.69168E-02
396,8.38648E-03,1.18305E-03,3.76147E-02
396,8.54350E-03,1.20507E-03,3.83251E-02
396,8.70326E-03,1.22746E-03,3.90480E-02
396,8.86580E-03,1.25021E-03,3.97838E-02
396,9.03117E-03,1.27333E-03,4.05327E-02
396,9.19940E-03,1.29682E-03,4.12947E-02
396,9.37054E-03,1.32068E-03,4.20701E-02
396,9.54463E-03,1.34493E-03,4.28592E-02
396,9.72171E-03,1.36957E-03,4.36621E-02
396,9.90183E-03,1.39459E-03,4.44789E-02
396,1.00850E-02,1.42001E-03,4.53101E-02
397,1.02713E-02,1.44582E-03,4.61556E-02
397,1.04608E-02,1.47204E-03,4.70158E-02
397,1.06535E-02,1.49867E-03,4.78909E-02
397,1.08495E-02,1.52571E-03,4.87810E-02
397,1.10487E-02,1.55316E-03,4.96864E-02
397,1.12513E-02,1.58103E-03,5.06073E-02
397,1.14573E-02,1.60933E-03,5.15440E-02
397,1.16667E-02,1.63805E-03,5.24965E-02
397,1.18795E-02,1.66721E-03,5.34653E-02
398,1.20960E-02,1.69681E-03,5.44504E-02
398,1.23160E-02,1.72684E-03,5.54521E-02
398,1.25396E-02,1.75732E-03,5.64707E-02
398,1.27669E-02,1.78825E-03,5.75063E-02
398,1.29979E-02,1.81963E-03,5.85592E-02
398,1.32326E-02,1.85146E-03,5.96296E-02
398,1.34712E-02,1.88376E-03,6.07178E-02
398,1.37136E-02,1.91652E-03,6.18240E-02
398,1.39600E-02,1.94975E-03,6.29484E-02
398,1.42103E-02,1.98346E-03,6.40913E-02
398,1.44646E-02,2.01764E-03,6.52528E-02
399,1.47229E-02,2.05229E-03,6.64333E-02
399,1.49854E-02,2.08743E-03,6.76329E-02
399,1.52520E-02,2.12306E-03,6.88520E-02
399,1.55228E-02,2.15918E-03,7.00907E-02
399,1.57979E-02,2.19579E-03,7.13493E-02
399,1.60773E-02,2.23290E-03,7.26280E-02
399,1.63610E-02,2.27051E-03,7.39271E-02
399,1.66491E-02,2.30863E-03,7.52468E-02
399,1.69417E-02,2.34725E-03,7.65874E-02
400,1.72388E-02,2.38638E-03,7.79490E-02
400,1.75404E-02,2.42602E-03,7.93321E-02
400,1.78466E-02,2.46618E-03,8.07367E-02
400,1.81575E-02,2.50686E-03,8.21631E-02
400,1.84731E-02,2.54805E-03,8.36117E-02
400,1.87934E-02,2.58977E-03,8.50825E-02
400,1.91185E-02,2.63202E-03,8.65760E-02
400,1.94485E-02,2.67480E-03,8.80922E-02
400,1.97834E-02,2.71812E-03,8.96316E-02
400,2.01232E-02,2.76198E-03,9.11943E-02
400,2.04681E-02,2.80638E-03,9.27806E-02
401,2.08180E-02,2.85134E-03,9.43908E-02
401,2.11730E-02,2.89685E-03,9.60251E-02
401,2.15333E-02,2.94293E-03,9.76838E-02
401,2.18987E-02,2.98958E-03,9.93671E-02
401,2.22695E-02,3.03680E-03,1.01075E-01
401,2.26456E-02,3.08460E-03,1.02809E-01
401,2.30271E-02,3.13299E-03,1.04567E-01
401,2.34140E-02,3.18197E-03,1.06352E-01
401,2.38064E-02,3.23155E-03,1.08162E-01
402,2.42044E-02,3.28173E-03,1.09999E-01
