Wavelength,X,Y,Z
390,3.76965E-03,4.14616E-04,1.84726E-02
390,3.83981E-03,4.22728E-04,1.88162E-02
390,3.91126E-03,4.30991E-04,1.91663E-02
390,3.98404E-03,4.39407E-04,1.95228E-02
390,4.05816E-03,4.47979E-04,1.98860E-02
390,4.13365E-03,4.56710E-04,2.02560E-02
391,4.21053E-03,4.65602E-04,2.06328E-02
391,4.28882E-03,4.74658E-04,2.10165E-02
391,4.36855E-03,4.83880E-04,2.14074E-02
391,4.44974E-03,4.93271E-04,2.18055E-02
391,4.53242E-03,5.02833E-04,2.22110E-02
391,4.61660E-03,5.12570E-04,2.26239E-02
391,4.70233E-03,5.22484E-04,2.30445E-02
391,4.78961E-03,5.32577E-04,2.34727E-02
391,4.87848E-03,5.42853E-04,2.39089E-02
392,4.96897E-03,5.53314E-04,2.43530E-02
392,5.06110E-03,5.63964E-04,2.48052E-02
392,5.15489E-03,5.74804E-04,2.52657E-02
392,5.25038E-03,5.85838E-04,2.57346E-02
392,5.34759E-03,5.97069E-04,2.62121E-02
392,5.44655E-03,6.08499E-04,2.66982E-02
392,5.54729E-03,6.20132E-04,2.71931E-02
392,5.64984E-03,6.31971E-04,2.76971E-02
392,5.75423E-03,6.44018E-04,2.82101E-02
392,5.86048E-03,6.56276E-04,2.87324E-02
392,5.96863E-03,6.68750E-04,2.92641E-02
393,6.07870E-03,6.81441E-04,2.98054E-02
393,6.19073E-03,6.94352E-04,3.03564E-02
393,6.30475E-03,7.07488E-04,3.09173E-02
393,6.42078E-03,7.20851E-04,3.14882E-02
393,6.53887E-03,7.34444E-04,3.20694E-02
393,6.65904E-03,7.48270E-04,3.26609E-02
393,6.78132E-03,7.62332E-04,3.32629E-02
393,6.90575E-03,7.76635E-04,3.38756E-02
393,7.03236E-03,7.91181E-04,3.44992E-02
394,7.16118E-03,8.05972E-04,3.51338E-02
394,7.29225E-03,8.21013E-04,3.57796E-02
394,7.42561E-03,8.36307E-04,3.64368E-02
394,7.56128E-03,8.51857E-04,3.71055E-02
394,7.69929E-03,8.67667E-04,3.77859E-02
394,7.83970E-03,8.83739E-04,3.84783E-02
394,7.98253E-03,9.00077E-04,3.91828E-02
394,8.12781E-03,9.16685E-04,3.98995E-02
394,8.27559E-03,9.33565E-04,4.06287E-02
394,8.42589E-03,9.50721E-04,4.13705E-02
394,8.57877E-03,9.68157E-04,4.21252E-02
395,8.73425E-03,9.85875E-04,4.28929E-02
395,8.89237E-03,1.00388E-03,4.36738E-02
395,9.05317E-03,1.02217E-03,4.44682E-02
395,9.21669E-03,1.04076E-03,4.52761E-02
395,9.38297E-03,1.05965E-03,4.60978E-02
395,9.55204E-03,1.07883E-03,4.69336E-02
395,9.72395E-03,1.09832E-03,4.77836E-02
395,9.89873E-03,1.11811E-03,4.86479E-02
395,1.00764E-02,1.13821E-03,4.95269E-02
396,1.02571E-02,1.15863E-03,5.04207E-02
396,1.04407E-02,1.17936E-03,5.13296E-02
396,1.06274E-02,1.20042E-03,5.22537E-02
396,1.08172E-02,1.22179E-03,5.31932E-02
396,1.10100E-02,1.24350E-03,5.41484E-02
396,1.12061E-02,1.26553E-03,5.51195E-02
396,1.14053E-02,1.28790E-03,5.61067E-02
396,1.16078E-02,1.31060E-03,5.71103E-02
396,1.18136E-02,1.33365E-03,5.81303E-02
396,1.20227E-02,1.35704E-03,5.91671E-02
396,1.22352E-02,1.38077E-03,6.02209E-02
397,1.24510E-02,1.40485E-03,6.12919E-02
397,1.26704E-02,1.42929E-03,6.23804E-02
397,1.28933E-02,1.45408E-03,6.34865E-02
397,1.31197E-02,1.47924E-03,6.46105E-02
397,1.33496E-02,1.50475E-03,6.57526E-02
397,1.35833E-02,1.53063E-03,6.69130E-02
397,1.38206E-02,1.55688E-03,6.80920E-02
397,1.40616E-02,1.58350E-03,6.92899E-02
397,1.43064E-02,1.61050E-03,7.05068E-02
398,1.45550E-02,1.63787E-03,7.17429E-02
398,1.48075E-02,1.66562E-03,7.29986E-02
398,1.50639E-02,1.69376E-03,7.42740E-02
398,1.53242E-02,1.72228E-03,7.55694E-02
398,1.55885E-02,1.75119E-03,7.68850E-02
