Wavelength,V
390,4.07678E-04
390,4.15936E-04
390,4.24353E-04
390,4.32933E-04
390,4.41677E-04
390,4.50590E-04
391,4.59674E-04
391,4.68932E-04
391,4.78366E-04
391,4.87980E-04
391,4.97777E-04
391,5.07759E-04
391,5.17930E-04
391,5.28293E-04
391,5.38851E-04
392,5.49608E-04
392,5.60565E-04
392,5.71728E-04
392,5.83098E-04
392,5.94679E-04
392,6.06475E-04
392,6.18490E-04
392,6.30725E-04
392,6.43186E-04
392,6.55874E-04
392,6.68795E-04
393,6.81952E-04
393,6.95347E-04
393,7.08985E-04
393,7.22869E-04
393,7.37004E-04
393,7.51392E-04
393,7.66038E-04
393,7.80945E-04
393,7.96118E-04
394,8.11559E-04
394,8.27274E-04
394,8.43265E-04
394,8.59537E-04
394,8.76093E-04
394,8.92939E-04
394,9.10077E-04
394,9.27512E-04
394,9.45247E-04
394,9.63288E-04
394,9.81637E-04
395,1.00030E-03
395,1.01928E-03
395,1.03858E-03
395,1.05821E-03
395,1.07817E-03
395,1.09846E-03
395,1.11909E-03
395,1.14006E-03
395,1.16138E-03
396,1.18305E-03
396,1.20507E-03
396,1.22746E-03
396,1.25021E-03
396,1.27333E-03
396,1.29682E-03
396,1.32068E-03
396,1.34493E-03
396,1.36957E-03
396,1.39459E-03
396,1.42001E-03
397,1.44582E-03
397,1.47204E-03
397,1.49867E-03
397,1.52571E-03
397,1.55316E-03
397,1.58103E-03
397,1.60933E-03
397,1.63805E-03
397,1.66721E-03
398,1.69680E-03
398,1.72684E-03
398,1.75732E-03
398,1.78825E-03
398,1.81963E-03
398,1.85146E-03
398,1.88376E-03
398,1.91652E-03
398,1.94975E-03
398,1.98346E-03
398,2.01764E-03
399,2.05229E-03
399,2.08744E-03
399,2.12306E-03
399,2.15918E-03
399,2.19579E-03
399,2.23290E-03
399,2.27051E-03
399,2.30863E-03
399,2.34725E-03
400,2.38638E-03
400,2.42602E-03
400,2.46618E-03
400,2.50686E-03
400,2.54805E-03
400,2.58977E-03
400,2.63202E-03
400,2.67480E-03
400,2.71812E-03
400,2.76198E-03
400,2.80638E-03
401,2.85134E-03
401,2.89685E-03
401,2.94293E-03
401,2.98958E-03
401,3.03680E-03
401,3.08460E-03
401,3.13299E-03
401,3.18197E-03
401,3.23155E-03
402,3.28173E-03
402,3.33252E-03
402,3.38393E-03
402,3.43597E-03
402,3.48863E-03
402,3.54193E-03
402,3.59587E-03
402,3.65046E-03
402,3.70571E-03
402,3.76162E-03
402,3.81820E-03
403,3.87546E-03
403,3.93340E-03
403,3.99204E-03
403,4.05138E-03
403,4.11142E-03
403,4.17218E-03
403,4.23367E-03
403,4.29589E-03
403,4.35884E-03
404,4.42255E-03
404,4.48701E-03
404,4.55224E-03
404,4.61825E-03
404,4.68504E-03
404,4.75262E-03
404,4.82100E-03
404,4.89020E-03
404,4.96022E-03
404,5.03107E-03
404,5.10276E-03
405,5.17530E-03
405,5.24871E-03
405,5.32299E-03
405,5.39815E-03
405,5.47421E-03
405,5.55117E-03
405,5.62904E-03
405,5.70783E-03
405,5.78752E-03
406,5.86814E-03
406,5.94967E-03
406,6.03213E-03
406,6.11551E-03
406,6.19981E-03
406,6.28503E-03
406,6.37118E-03
406,6.45826E-03
406,6.54626E-03
406,6.63518E-03
406,6.72503E-03
407,6.81580E-03
407,6.90749E-03
407,7.00010E-03
407,7.09363E-03
407,7.18807E-03
407,7.28342E-03
407,7.37967E-03
407,7.47683E-03
407,7.57489E-03
408,7.67384E-03
408,7.77368E-03
408,7.87440E-03
408,7.97600E-03
408,8.07846E-03
408,8.18179E-03
408,8.28596E-03
408,8.39099E-03
408,8.49685E-03
408,8.60354E-03
408,8.71104E-03
409,8.81935E-03
409,8.92845E-03
409,9.03834E-03
409,9.14900E-03
409,9.26042E-03
409,9.37258E-03
409,9.48547E-03
409,9.59908E-03
409,9.71339E-03
410,9.82838E-03
410,9.94404E-03
410,1.00604E-02
410,1.01773E-02
410,1.02949E-02
410,1.04130E-02
410,1.05318E-02
410,1.06511E-02
410,1.07710E-02
410,1.08914E-02
410,1.10125E-02
411,1.11341E-02
411,1.12563E-02
411,1.13791E-02
411,1.15025E-02
411,1.16264E-02
411,1.17510E-02
411,1.18761E-02
411,1.20018E-02
411,1.21281E-02
412,1.22551E-02
412,1.23826E-02
412,1.25107E-02
412,1.26395E-02
412,1.27689E-02
412,1.28988E-02
412,1.30295E-02
412,1.31607E-02
412,1.32926E-02
412,1.34252E-02
412,1.35583E-02
413,1.36922E-02
413,1.38267E-02
413,1.39619E-02
413,1.40978E-02
413,1.42344E-02
413,1.43717E-02
413,1.45097E-02
413,1.46485E-02
413,1.47879E-02
414,1.49281E-02
414,1.50691E-02
414,1.52108E-02
414,1.53534E-02
414,1.54967E-02
414,1.56408E-02
414,1.57857E-02
414,1.59315E-02
414,1.60781E-02
414,1.62256E-02
414,1.63740E-02
415,1.65233E-02
415,1.66735E-02
415,1.68246E-02
415,1.69766E-02
415,1.71297E-02
415,1.72837E-02
415,1.74387E-02
415,1.75946E-02
415,1.77515E-02
416,1.79094E-02
416,1.80682E-02
416,1.82280E-02
416,1.83886E-02
416,1.85502E-02
416,1.87126E-02
416,1.88760E-02
416,1.90402E-02
416,1.92053E-02
416,1.93713E-02
416,1.95380E-02
417,1.97056E-02
417,1.98740E-02
417,2.00432E-02
417,2.02132E-02
417,2.03839E-02
417,2.05554E-02
417,2.07276E-02
417,2.09006E-02
417,2.10742E-02
418,2.12485E-02
418,2.14234E-02
418,2.15990E-02
418,2.17752E-02
418,2.19520E-02
418,2.21294E-02
418,2.23073E-02
418,2.24857E-02
418,2.26647E-02
418,2.28442E-02
418,2.30241E-02
419,2.32045E-02
419,2.33853E-02
419,2.35664E-02
419,2.37480E-02
419,2.39299E-02
419,2.41120E-02
419,2.42945E-02
419,2.44773E-02
419,2.46602E-02
420,2.48434E-02
420,2.50268E-02
420,2.52103E-02
420,2.53939E-02
420,2.55776E-02
420,2.57613E-02
420,2.59451E-02
420,2.61289E-02
420,2.63127E-02
420,2.64966E-02
420,2.66806E-02
421,2.68646E-02
421,2.70487E-02
421,2.72329E-02
421,2.74172E-02
421,2.76016E-02
421,2.77861E-02
421,2.79708E-02
