540, -0.0539, -0.0015, -1.9061
541, -0.0496, -0.0007, -1.9408
542, -0.0456, -0.0002, -1.9759
543, -0.0418, 0.0000, -2.0114
544, -0.0382, -0.0001, -2.0473
545, -0.0348, -0.0004, -2.0833
546, -0.0316, -0.0010, -2.1194
547, -0.0286, -0.0018, -2.1555
548, -0.0257, -0.0030, -2.1915
549, -0.0231, -0.0043, -2.2274
550, -0.0205, -0.0059, -2.2633
551, -0.0181, -0.0077, -2.2990
552, -0.0159, -0.0097, -2.3344
553, -0.0138, -0.0120, -2.3695
554, -0.0118, -0.0145, -2.4041
555, -0.0099, -0.0173, -2.4380
556, -0.0082, -0.0203, -2.4713
557, -0.0066, -0.0235, -2.5037
558, -0.0052, -0.0271, -2.5353
559, -0.0040, -0.0309, -2.5662
560, -0.0029, -0.0350, -2.5963
561, -0.0020, -0.0395, -2.6259
562, -0.0013, -0.0443, -2.6548
563, -0.0008, -0.0493, -2.6829
564, -0.0004, -0.0547, -2.7098
565, -0.0001, -0.0604, -2.7354
566, 0.0000, -0.0663, -2.7596
567, 0.0000, -0.0726, -2.7824
568, -0.0003, -0.0792, -2.8035
569, -0.0006, -0.0862, -2.8228
570, -0.0011, -0.0935, -2.8403
571, -0.0018, -0.1011, -2.8557
572, -0.0027, -0.1091, -2.8692
573, -0.0038, -0.1175, -2.8811
574, -0.0050, -0.1262, -2.8913
575, -0.0063, -0.1353, -2.9001
576, -0.0078, -0.1448, -2.9077
577, -0.0095, -0.1546, -2.9142
578, -0.0114, -0.1649, -2.9205
579, -0.0134, -0.1755, -2.9273
580, -0.0157, -0.1866, -2.9352
581, -0.0181, -0.1981, -2.9449
582, -0.0208, -0.2101, -2.9562
583, -0.0236, -0.2225, -2.9691
584, -0.0267, -0.2353, -2.9835
585, -0.0299, -0.2486, -2.9992
586, -0.0332, -0.2623, -3.0169
587, -0.0368, -0.2764, -3.0362
588, -0.0406, -0.2910, -3.0560
589, -0.0445, -0.3060, -3.0746
590, -0.0486, -0.3215, -3.0904
591, -0.0528, -0.3374, -3.1017
592, -0.0572, -0.3537, -3.1093
593, -0.0618, -0.3705, -3.1152
594, -0.0665, -0.3876, -3.1215
595, -0.0715, -0.4051, -3.1302
596, -0.0767, -0.4229, -3.1427
597, -0.0822, -0.4411, -3.1583
598, -0.0879, -0.4597, -3.1762
599, -0.0938, -0.4787, -3.1954
600, -0.0999, -0.4981, -3.2147
601, -0.1061, -0.5180, -3.2333
602, -0.1126, -0.5384, -3.2520
603, -0.1193, -0.5592, -3.2718
604, -0.1262, -0.5803, -3.2939
605, -0.1335, -0.6019, -3.3198
606, -0.1410, -0.6237, -3.3512
607, -0.1488, -0.6457, -3.3877
608, -0.1568, -0.6681, -3.4275
609, -0.1652, -0.6908, -3.4680
610, -0.1737, -0.7137, -3.5057
611, -0.1825, -0.7370, -3.5373
612, -0.1916, -0.7605, -3.5631
613, -0.2009, -0.7843, -3.5843
614, -0.2106, -0.8084, -3.6023
615, -0.2205, -0.8327, -3.6191
616, -0.2308, -0.8572, -3.6351
617, -0.2414, -0.8819, -3.6499
618, -0.2523, -0.9070, -3.6651
619, -0.2638, -0.9323, -3.6821
620, -0.2757, -0.9580, -3.7030
621, -0.2881, -0.9842, -3.7299
622, -0.3011, -1.0107, -3.7627
623, -0.3146, -1.0377, -3.8000
624, -0.3286, -1.0649, -3.8398
625, -0.3430, -1.0925, -3.8791
626, -0.3578, -1.1204, -3.9159
627, -0.3730, -1.1485, -3.9505
628, -0.3885, -1.1768, -3.9833
629, -0.4043, -1.2054, -4.0143
630, -0.4203, -1.2341, -4.0442
631, -0.4363, -1.2629, -4.0726
632, -0.4524, -1.2918, -4.0988
633, -0.4687, -1.3208, -4.1232
634, -0.4851, -1.3499, -4.1462
635, -0.5019, -1.3793, -4.1686
636, -0.5191, -1.4089, -4.1907
637, -0.5365, -1.4386, -4.2126
638, -0.5543, -1.4686, -4.2346
639, -0.5725, -1.4989, -4.2570
640, -0.5910, -1.5293, -4.2802
641, -0.6100, -1.5601, -4.3046
642, -0.6294, -1.5910, -4.3305
643, -0.6492, -1.6222, -4.3579
644, -0.6694, -1.6535, -4.3871
645, -0.6901, -1.6848, -4.4183
646, -0.7110, -1.7160, -4.4523
647, -0.7324, -1.7472, -4.4891
648, -0.7541, -1.7784, -4.5273
649, -0.7762, -1.8096, -4.5654
650, -0.7985, -1.8407, -4.6006
651, -0.8211, -1.8720, -4.6234
652, -0.8439, -1.9032, -4.6463
653, -0.8670, -1.9345, -4.6696
654, -0.8904, -1.9659, -4.6931
655, -0.9141, -1.9973, -4.7171
656, -0.9383, -2.0288, -4.7414
657, -0.9629, -2.0604, -4.7661
658, -0.9878, -2.0921, -4.7912
659, -1.0132, -2.1238, -4.8167
660, -1.0390, -2.1555, -4.8425
661, -1.0652, -2.1872, -4.8688
662, -1.0918, -2.2188, -4.8955
