360,0.0000034933
361,0.0000039183
362,0.0000043963
363,0.0000049336
364,0.0000055366
365,0.0000062115
366,0.0000069680
367,0.0000078189
368,0.0000087754
369,0.0000098484
370,0.0000110497
371,0.0000123838
372,0.0000138741
373,0.0000155561
374,0.0000174654
375,0.0000196379
376,0.0000221529
377,0.0000250076
378,0.0000281200
379,0.0000314055
380,0.0001661018
381,0.0001864586
382,0.0002095024
383,0.0002364131
384,0.0002677036
385,0.0003041113
386,0.0003472255
387,0.0003972728
388,0.0004552823
389,0.0005222866
390,0.0005995273
391,0.0006882458
392,0.0007903683
393,0.0009085080
394,0.0010452778
395,0.0012035138
396,0.0013884866
397,0.0015996968
398,0.0018402925
399,0.0021156426
400,0.0024244181
401,0.0027724159
402,0.0031664318
403,0.0036122180
404,0.0041199679
405,0.0046999019
406,0.0053572282
407,0.0060982788
408,0.0069260323
409,0.0078412378
410,0.0088468742
411,0.0099456791
412,0.0111529029
413,0.0124590832
414,0.0138770356
415,0.0154106840
416,0.0170826719
417,0.0188745206
418,0.0207953269
419,0.0228764827
420,0.0251047891
421,0.0275093552
422,0.0300404174
423,0.0327336841
424,0.0355802729
425,0.0385267101
426,0.0415691697
427,0.0447549452
428,0.0480403817
429,0.0514041113
430,0.0548916436
431,0.0584572996
432,0.0621222866
433,0.0658652279
434,0.0696647552
435,0.0735441006
436,0.0774835994
437,0.0814808526
438,0.0855069295
439,0.0895774904
440,0.0936636047
441,0.0977388834
442,0.1018329082
443,0.1059338001
444,0.1100742442
445,0.1142201017
446,0.1184436190
447,0.1225217872
448,0.1268805137
449,0.1310761705
450,0.1353339873
451,0.1396563542
452,0.1440453046
453,0.1482796754
454,0.1528071613
455,0.1571836261
456,0.1616370998
457,0.1661669847
458,0.1707665745
459,0.1754291626
460,0.1799250870
461,0.1846980915
462,0.1893137608
463,0.1942317667
464,0.1992429234
465,0.2041380540
466,0.2093694819
467,0.2147207705
468,0.2202058325
469,0.2258385802
470,0.2318558816
471,0.2378199857
472,0.2441771515
473,0.2504837242
474,0.2571877285
475,0.2640684919
476,0.2709194685
477,0.2781810399
478,0.2855995719
479,0.2931443860
480,0.3007848034
481,0.3085047712
482,0.3163464728
